Date,Chicago,20-City,New York
Jan-00,100,100,100
Feb-00,100.52,100.76,100.54
Mar-00,101.53,101.95,101.27
Apr-00,102.78,103.5,102.41
May-00,104.38,105.2,104.35
Jun-00,106.08,106.76,106
Jul-00,107.01,107.77,107.52
Aug-00,107.39,108.64,108.9
Sep-00,107.3,109.35,109.76
Oct-00,107.29,110.04,110.51
Nov-00,107.43,110.81,110.89
Dec-00,107.86,111.58,111.87
Jan-01,108.35,112.39,112.66
Feb-01,108.63,113.07,113.51
Mar-01,109.38,114.14,114.48
Apr-01,110.63,115.29,115.6
May-01,112.12,116.24,116.38
Jun-01,113.79,117.29,117.9
Jul-01,115.2,118.2,119.66
Aug-01,116.19,119.09,121.41
Sep-01,116.69,119.84,122.91
Oct-01,116.82,120.31,123.86
Nov-01,116.77,120.53,124.74
Dec-01,116.88,120.43,124.72
Jan-02,116.96,120.64,125.19
Feb-02,117.29,121.06,125.4
Mar-02,117.66,122.3,126.5
Apr-02,118.97,123.92,127.93
May-02,120.38,125.86,129.89
Jun-02,121.56,127.82,132.2
Jul-02,122.77,129.66,135.18
Aug-02,123.49,131.22,137.74
Sep-02,124.07,132.43,139.69
Oct-02,124.66,133.55,141.58
Nov-02,125.38,134.41,143.29
Dec-02,126.27,135.15,145.2
Jan-03,126.77,135.64,146.55
Feb-03,127.48,136.19,147.3
Mar-03,128.26,137.2,148.38
Apr-03,129.05,138.56,149.53
May-03,130.52,140.06,150.88
Jun-03,131.43,141.39,151.86
Jul-03,132.5,142.99,153.5
Aug-03,133.01,144.56,155.14
Sep-03,133.94,146.28,157.1
Oct-03,134.87,147.82,158.73
Nov-03,135.91,149.22,160.59
Dec-03,137.09,150.49,162.31
Jan-04,137.65,151.69,163.63
Feb-04,138.1,153.1,164.92
Mar-04,138.08,155.49,166.61
Apr-04,139.26,158.47,168.3
May-04,141.28,161.6,170.52
Jun-04,142.57,164.82,172.9
Jul-04,143.96,167.43,175.74
Aug-04,144.76,169.31,177.93
Sep-04,146.04,170.96,179.79
Oct-04,146.89,172.41,181.9
Nov-04,147.86,173.65,183.69
Dec-04,148.85,174.83,185.16
Jan-05,149.69,176.44,187.19
Feb-05,151.02,178.5,189.29
Mar-05,151.85,181.3,192.17
Apr-05,153.28,184.24,194.1
May-05,154.72,187.21,195.96
Jun-05,156.16,190.1,197.77
Jul-05,157.38,192.67,199.86
Aug-05,157.81,194.98,202.33
Sep-05,159.32,197.36,204.83
Oct-05,160.47,199.4,207.64
Nov-05,162.44,200.97,210.3
Dec-05,163.16,201.97,212.68
Jan-06,163.98,202.44,213.5
Feb-06,164.67,203.19,214.47
Mar-06,164.89,203.65,214.33
Apr-06,165.58,204.82,214.97
May-06,166.61,205.86,215.57
Jun-06,167.1,206.38,215.83
Jul-06,167.57,206.52,215.25
Aug-06,167.99,206.18,214.34
Sep-06,168.6,205.8,214.09
Oct-06,168.59,205.41,214.29
Nov-06,168.18,204.65,214.24
Dec-06,167.65,203.33,213.79
Jan-07,167.52,202.31,212.78
Feb-07,167.49,201.57,212.52
Mar-07,167.04,201.01,212.4
Apr-07,165.87,200.54,211.62
May-07,165.68,200.12,210.51
Jun-07,165.94,199.44,209.49
Jul-07,166.13,198.72,208.37
Aug-07,165.77,197.37,207.18
Sep-07,164.42,195.69,206.39
Oct-07,163.12,192.98,205.54
Nov-07,161.61,188.94,204.38
Dec-07,160.03,184.97,202.09
Jan-08,156.42,180.68,200.44
Feb-08,153.29,175.96,198.31
Mar-08,150.33,172.2,196.52
Apr-08,150.43,169.98,194.72
May-08,149.94,168.6,194.23
Jun-08,150.11,167.78,194.74
Jul-08,149.55,166.36,193.7
Aug-08,149.46,164.65,193.48
Sep-08,147.83,161.64,191.66
Oct-08,145.48,158.09,189.66
Nov-08,141.39,154.5,186.52
Dec-08,137.16,150.54,183.45
Jan-09,130.85,146.34,180.93
Feb-09,126.38,143.11,177.84
Mar-09,122.5,140.06,173.6
Apr-09,122.37,139.26,170.69
May-09,123.73,139.98,171.17
Jun-09,124.99,141.97,172.34
Jul-09,128.32,144.32,173.91
Aug-09,130.55,146.11,175.13
Sep-09,132.13,146.63,174.81
Oct-09,130.75,146.49,174.42
Nov-09,129.36,146.17,172.65
Dec-09,127.26,145.89,171.85
Jan-10,125.11,145.31,171.39
Feb-10,122.57,144.06,170.56
Mar-10,119.71,143.34,169.26
Apr-10,120.43,144.56,168.89
May-10,121.9,146.46,170.47
Jun-10,124.9,147.99,172.85
Jul-10,126.17,148.88,175.02
Aug-10,126.7,148.49,175.18
Sep-10,124.76,147.26,174.43
Oct-10,122.28,145.24,171.5
Nov-10,119.57,143.77,169.53
Dec-10,117.86,142.39,167.92
Jan-11,115.78,140.78,165.92
Feb-11,113.26,139.05,164.45
Mar-11,110.57,137.64,162.34
Apr-11,110.12,138.43,163.92
May-11,112.01,139.88,165.09
Jun-11,115.61,141.5,166.82
Jul-11,117.78,142.89,169.54
Aug-11,119.4,142.97,170.2
Sep-11,118.47,141.97,169.96
Oct-11,116.39,140.05,167.33
Nov-11,112.44,138.18,164.86
Dec-11,110.16,136.6,162.41
Jan-12,107.99,135.21,160.63
Feb-12,105.26,134.08,158.87
Mar-12,102.75,134.07,157.4
Apr-12,103.98,135.98,157.95
May-12,108.62,139.2,160.18
Jun-12,113.56,142.36,163.27
Jul-12,116.61,144.58,165.17
Aug-12,117.45,145.82,166.41
Sep-12,116.69,146.23,166.3
Oct-12,114.88,146.04,165.16
Nov-12,113.36,145.82,162.88
Dec-12,112.61,146.08,161.96
Jan-13,111.65,146.15,161.23
Feb-13,110.7,146.51,161.46
Mar-13,110.73,148.44,160.25
Apr-13,113.83,152.24,161.97
May-13,117.92,156.06,164.64
Jun-13,121.74,159.46,167.96
Jul-13,125.69,162.38,170.47
Aug-13,127.7,164.49,172.29
Sep-13,128.03,165.6,173.23
Oct-13,127.42,165.9,173.29
Nov-13,125.87,165.8,172.72
Dec-13,125.29,165.63,171.96
Jan-14,123.73,165.4,171.97
Feb-14,122.61,165.35,171.29
Mar-14,123.64,166.8,170.62
Apr-14,126.07,168.72,170.8
May-14,127.95,170.6,172.3
Jun-14,129.93,172.3,175.09
Jul-14,131.02,173.3,177.04
Aug-14,131.68,173.63,177.89
Sep-14,131.06,173.45,177.44
Oct-14,129.72,173.24,176.42
Nov-14,127.98,172.81,174.8
Dec-14,126.84,172.84,174.74
Jan-15,126.57,172.65,174.79
Feb-15,126.46,173.46,174.84
Mar-15,127.65,174.99,174.28
Apr-15,129.13,177.05,175.68
May-15,130.85,179,177.34
Jun-15,132.23,180.67,179.33
Jul-15,133.21,181.81,180.29
Aug-15,134.13,182.47,181.16
